"ID","Age","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeCount","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","Over18","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Attrition"
"1184",50,"Travel_Rarely",691,"Research & Development",2,"Three","Medical","1","815","High","Male",64,"High","Four","Research Director","High","Married",17639,6881,5,"Y","No",16,"Excellent","Very High","80","Zero",30,3,"Good",4,3,0,3,"No"
"1185",33,"Travel_Rarely",516,"Research & Development",8,"Five","Life Sciences","1","1515","Very High","Male",69,"High","Two","Healthcare Representative","High","Single",6388,22049,2,"Y","Yes",17,"Excellent","Low","80","Zero",14,6,"Good",0,0,0,0,"Yes"
"1186",42,"Non-Travel",335,"Research & Development",23,"Two","Life Sciences","1","1976","Very High","Male",37,"Medium","Two","Research Scientist","High","Single",4332,14811,1,"Y","No",12,"Excellent","Very High","80","Zero",20,2,"Good",20,9,3,7,"No"
"1187",33,"Travel_Rarely",575,"Research & Development",25,"Three","Life Sciences","1","1545","Very High","Male",44,"Medium","Two","Manufacturing Director","Medium","Single",4320,24152,1,"Y","No",13,"Excellent","Very High","80","Zero",5,2,"Good",5,3,0,2,"No"
"1188",29,"Travel_Rarely",694,"Research & Development",1,"Three","Life Sciences","1","1264","Very High","Female",87,"Medium","Four","Research Director","Very High","Divorced",16124,3423,3,"Y","No",14,"Excellent","Medium","80","Two",9,2,"Better",7,7,1,7,"No"
"1189",55,"Travel_Rarely",436,"Sales",2,"One","Medical","1","842","High","Male",37,"High","Two","Sales Executive","Very High","Single",5160,21519,4,"Y","No",16,"Excellent","High","80","Zero",12,3,"Better",9,7,7,3,"No"
"1190",49,"Travel_Rarely",1184,"Sales",11,"Three","Marketing","1","840","High","Female",43,"High","Three","Sales Executive","Very High","Married",7654,5860,1,"Y","No",18,"Excellent","Low","80","Two",9,3,"Best",9,8,7,7,"No"
"1191",32,"Travel_Rarely",267,"Research & Development",29,"Four","Life Sciences","1","2010","High","Female",49,"Medium","One","Laboratory Technician","Medium","Single",2837,15919,1,"Y","No",13,"Excellent","High","80","Zero",6,3,"Good",6,2,4,1,"Yes"
"1192",50,"Travel_Rarely",1126,"Research & Development",1,"Two","Medical","1","997","Very High","Male",66,"High","Four","Research Director","Very High","Divorced",17399,6615,9,"Y","No",22,"Outstanding","High","80","One",32,1,"Better",5,4,1,3,"No"
"1193",54,"Travel_Rarely",157,"Research & Development",10,"Three","Medical","1","1980","High","Female",77,"High","Two","Manufacturing Director","Low","Single",4440,25198,6,"Y","Yes",19,"Excellent","Very High","80","Zero",9,3,"Good",5,2,1,4,"Yes"
"1194",24,"Travel_Frequently",897,"Human Resources",10,"Three","Medical","1","1746","Low","Male",59,"High","One","Human Resources","Very High","Married",2145,2097,0,"Y","No",14,"Excellent","Very High","80","One",3,2,"Good",2,2,2,1,"Yes"
"1195",45,"Travel_Rarely",1038,"Research & Development",20,"Three","Medical","1","1460","Medium","Male",95,"Low","Three","Healthcare Representative","Low","Divorced",10851,19863,2,"Y","Yes",18,"Excellent","Medium","80","One",24,2,"Good",7,7,0,7,"No"
"1196",36,"Non-Travel",635,"Sales",10,"Four","Medical","1","592","Medium","Male",32,"High","Three","Sales Executive","Very High","Single",9980,15318,1,"Y","No",14,"Excellent","Very High","80","Zero",10,3,"Better",10,3,9,7,"No"
"1197",41,"Non-Travel",552,"Human Resources",4,"Three","Human Resources","1","1722","High","Male",60,"Low","Two","Human Resources","Medium","Married",6430,20794,6,"Y","No",19,"Excellent","Medium","80","One",10,4,"Good",3,2,1,2,"No"
"1198",21,"Travel_Rarely",1343,"Sales",22,"One","Technical Degree","1","669","High","Male",49,"High","One","Sales Representative","High","Single",3447,24444,1,"Y","No",11,"Excellent","High","80","Zero",3,2,"Good",3,2,1,2,"Yes"
"1199",36,"Travel_Rarely",335,"Sales",17,"Two","Marketing","1","1908","High","Male",33,"Medium","Two","Sales Executive","Medium","Married",5507,16822,2,"Y","No",16,"Excellent","High","80","Two",12,1,"Bad",4,2,1,3,"No"
"1200",30,"Travel_Frequently",109,"Research & Development",5,"Three","Medical","1","1017","Medium","Female",60,"High","One","Laboratory Technician","Medium","Single",2422,25725,0,"Y","No",17,"Excellent","Low","80","Zero",4,3,"Good",3,2,1,2,"Yes"
"1201",35,"Travel_Frequently",146,"Research & Development",2,"Four","Medical","1","1704","Low","Male",79,"Medium","One","Research Scientist","Very High","Single",4930,13970,0,"Y","Yes",14,"Excellent","High","80","Zero",6,2,"Best",5,4,1,4,"Yes"
"1202",46,"Travel_Rarely",717,"Research & Development",13,"Four","Life Sciences","1","1727","High","Male",34,"High","Two","Healthcare Representative","Medium","Single",5562,9697,6,"Y","No",14,"Excellent","Very High","80","Zero",19,3,"Good",10,7,0,9,"No"
"1203",39,"Travel_Rarely",903,"Sales",2,"Five","Life Sciences","1","985","Low","Male",41,"Very High","Three","Sales Executive","High","Single",7880,2560,0,"Y","No",18,"Excellent","Very High","80","Zero",9,3,"Good",8,7,0,7,"No"
"1204",35,"Travel_Rarely",185,"Research & Development",23,"Four","Medical","1","1826","Medium","Male",91,"Low","One","Laboratory Technician","High","Married",2705,9696,0,"Y","No",16,"Excellent","Medium","80","One",6,2,"Best",5,4,0,3,"No"
"1205",21,"Travel_Rarely",1334,"Research & Development",10,"Three","Life Sciences","1","1079","High","Female",36,"Medium","One","Laboratory Technician","Low","Single",1416,17258,1,"Y","No",13,"Excellent","Low","80","Zero",1,6,"Better",1,0,1,0,"Yes"
"1206",30,"Travel_Rarely",1358,"Sales",16,"One","Life Sciences","1","1479","Very High","Male",96,"High","Two","Sales Executive","High","Married",5301,2939,8,"Y","No",15,"Excellent","High","80","Two",4,2,"Better",2,1,2,2,"Yes"
"1207",42,"Travel_Frequently",555,"Sales",26,"Three","Marketing","1","404","High","Female",77,"High","Four","Sales Executive","Medium","Married",13525,14864,5,"Y","No",14,"Excellent","Very High","80","One",23,2,"Best",20,4,4,8,"No"
"1208",45,"Travel_Frequently",1297,"Research & Development",1,"Four","Medical","1","1922","Medium","Male",44,"High","Two","Healthcare Representative","High","Single",5399,14511,4,"Y","No",12,"Excellent","High","80","Zero",12,3,"Good",4,2,0,3,"No"
"1209",39,"Travel_Frequently",672,"Research & Development",7,"Two","Medical","1","444","High","Male",54,"Medium","Five","Manager","Very High","Married",19272,21141,1,"Y","No",15,"Excellent","Low","80","One",21,2,"Good",21,9,13,3,"No"
"1210",48,"Travel_Rarely",715,"Research & Development",1,"Three","Life Sciences","1","1263","Very High","Male",76,"Medium","Five","Research Director","Very High","Single",18265,8733,6,"Y","No",12,"Excellent","High","80","Zero",25,3,"Best",1,0,0,0,"No"
"1211",38,"Travel_Rarely",364,"Research & Development",3,"Five","Technical Degree","1","193","Very High","Female",32,"High","Two","Research Scientist","High","Single",4317,2302,3,"Y","Yes",20,"Outstanding","Medium","80","Zero",19,2,"Good",3,2,2,2,"Yes"
"1212",21,"Travel_Rarely",546,"Research & Development",5,"One","Medical","1","1623","High","Male",97,"High","One","Research Scientist","Very High","Single",3117,26009,1,"Y","No",18,"Excellent","High","80","Zero",3,2,"Good",2,2,2,2,"Yes"
"1213",55,"Travel_Rarely",836,"Research & Development",8,"Three","Medical","1","84","Very High","Female",33,"High","Four","Manager","High","Divorced",14756,19730,2,"Y","Yes",14,"Excellent","High","80","Three",21,2,"Good",5,0,0,2,"No"
"1214",59,"Travel_Rarely",1429,"Research & Development",18,"Four","Medical","1","1283","Very High","Male",67,"High","Three","Manufacturing Director","Very High","Single",10512,20002,6,"Y","No",12,"Excellent","Very High","80","Zero",25,6,"Better",9,7,5,4,"No"
"1215",58,"Travel_Rarely",1145,"Research & Development",9,"Three","Medical","1","214","Medium","Female",75,"Medium","One","Research Scientist","Medium","Married",3346,11873,4,"Y","Yes",20,"Outstanding","Medium","80","One",9,3,"Better",1,0,0,0,"No"
"1216",49,"Travel_Frequently",1064,"Research & Development",2,"One","Life Sciences","1","1941","Medium","Male",42,"High","Five","Research Director","Very High","Married",19161,13738,3,"Y","No",15,"Excellent","Very High","80","Zero",28,3,"Good",5,4,4,3,"No"
"1217",52,"Travel_Rarely",1490,"Research & Development",4,"Two","Life Sciences","1","546","Very High","Female",30,"High","Four","Manager","Very High","Married",16555,10310,2,"Y","No",13,"Excellent","Very High","80","Zero",31,2,"Bad",5,2,1,4,"No"
"1218",37,"Travel_Rarely",589,"Sales",9,"Two","Marketing","1","1787","Medium","Male",46,"Medium","Two","Sales Executive","Medium","Married",4189,8800,1,"Y","No",14,"Excellent","Low","80","Two",5,2,"Good",5,2,0,3,"No"
"1219",37,"Non-Travel",1413,"Research & Development",5,"Two","Technical Degree","1","1440","High","Male",84,"Very High","One","Laboratory Technician","High","Single",3500,25470,0,"Y","No",14,"Excellent","Low","80","Zero",7,2,"Bad",6,5,1,3,"Yes"
"1220",26,"Travel_Frequently",921,"Research & Development",1,"One","Medical","1","1068","Low","Female",66,"Medium","One","Research Scientist","High","Divorced",2007,25265,1,"Y","No",13,"Excellent","High","80","Two",5,5,"Good",5,3,1,3,"No"
"1221",52,"Travel_Rarely",621,"Sales",3,"Four","Marketing","1","776","High","Male",31,"Medium","Four","Manager","Low","Married",16856,10084,1,"Y","No",11,"Excellent","Low","80","Zero",34,3,"Best",34,6,1,16,"No"
"1222",33,"Travel_Frequently",1392,"Research & Development",3,"Four","Life Sciences","1","5","Very High","Female",56,"High","One","Research Scientist","High","Married",2909,23159,1,"Y","Yes",11,"Excellent","High","80","Zero",8,3,"Good",8,7,3,0,"No"
"1223",32,"Non-Travel",300,"Research & Development",1,"Three","Life Sciences","1","882","Very High","Male",61,"High","One","Laboratory Technician","Very High","Divorced",2314,9148,0,"Y","No",12,"Excellent","Medium","80","One",4,2,"Good",3,0,0,2,"No"
"1224",51,"Travel_Rarely",1178,"Sales",14,"Two","Life Sciences","1","500","High","Female",87,"High","Two","Sales Executive","Very High","Married",4936,14862,4,"Y","No",11,"Excellent","High","80","One",18,2,"Better",7,7,0,7,"No"
"1225",39,"Travel_Rarely",1329,"Sales",4,"Four","Life Sciences","1","182","Very High","Female",47,"Medium","Two","Sales Executive","High","Married",5902,14590,4,"Y","No",14,"Excellent","High","80","One",17,1,"Best",15,11,5,9,"No"
"1226",39,"Travel_Frequently",1218,"Research & Development",1,"One","Life Sciences","1","531","Medium","Male",52,"High","Five","Manager","High","Divorced",19197,8213,1,"Y","Yes",14,"Excellent","High","80","One",21,3,"Good",21,8,1,6,"No"
"1227",33,"Travel_Rarely",527,"Research & Development",1,"Four","Other","1","780","Very High","Male",63,"High","One","Research Scientist","Very High","Single",2686,5207,1,"Y","Yes",13,"Excellent","High","80","Zero",10,2,"Better",10,9,7,8,"Yes"
"1228",30,"Non-Travel",1400,"Research & Development",3,"Three","Life Sciences","1","562","High","Male",53,"High","One","Laboratory Technician","Very High","Married",2097,16734,4,"Y","No",15,"Excellent","High","80","One",9,3,"Bad",5,3,1,4,"No"
"1229",30,"Travel_Rarely",979,"Sales",15,"Two","Marketing","1","1754","High","Male",94,"Medium","Three","Sales Executive","Low","Divorced",7140,3088,2,"Y","No",11,"Excellent","Low","80","One",12,2,"Good",7,7,1,7,"No"
"1230",44,"Travel_Rarely",986,"Research & Development",8,"Four","Life Sciences","1","874","Low","Male",62,"Very High","One","Laboratory Technician","Very High","Married",2818,5044,2,"Y","Yes",24,"Outstanding","High","80","One",10,2,"Better",3,2,0,2,"No"
"1231",40,"Travel_Rarely",1398,"Sales",2,"Four","Life Sciences","1","558","High","Female",79,"High","Five","Manager","High","Married",18041,13022,0,"Y","No",14,"Excellent","Very High","80","Zero",21,2,"Good",20,15,1,12,"No"
"1232",31,"Travel_Rarely",741,"Research & Development",2,"Four","Life Sciences","1","1721","Medium","Male",69,"High","One","Laboratory Technician","High","Married",3477,18103,1,"Y","No",14,"Excellent","Very High","80","One",6,2,"Best",5,2,0,3,"No"
"1233",20,"Travel_Rarely",1097,"Research & Development",11,"Three","Medical","1","1016","Very High","Female",98,"Medium","One","Research Scientist","Low","Single",2600,18275,1,"Y","Yes",15,"Excellent","Low","80","Zero",1,2,"Good",1,0,0,0,"Yes"
"1234",42,"Travel_Frequently",481,"Sales",12,"Three","Life Sciences","1","1167","High","Male",44,"High","Four","Sales Executive","Low","Single",13758,2447,0,"Y","Yes",12,"Excellent","Medium","80","Zero",22,2,"Better",21,9,13,14,"No"
"1235",32,"Travel_Rarely",495,"Research & Development",10,"Three","Medical","1","1516","High","Male",64,"High","Three","Manager","Very High","Single",11244,21072,2,"Y","No",25,"Outstanding","Medium","80","Zero",10,5,"Best",5,2,0,0,"No"
"1236",33,"Travel_Rarely",118,"Sales",16,"Three","Marketing","1","819","Low","Female",69,"High","Two","Sales Executive","Low","Single",5324,26507,5,"Y","No",15,"Excellent","High","80","Zero",6,3,"Good",3,2,0,2,"Yes"
"1237",53,"Travel_Rarely",102,"Research & Development",23,"Four","Life Sciences","1","901","Very High","Female",72,"High","Four","Research Director","Very High","Single",14275,20206,6,"Y","No",18,"Excellent","High","80","Zero",33,0,"Good",12,9,3,8,"No"
"1238",33,"Travel_Frequently",1111,"Sales",5,"One","Life Sciences","1","1395","Medium","Male",61,"High","Two","Sales Executive","Very High","Married",9998,19293,6,"Y","No",13,"Excellent","Low","80","Zero",8,2,"Best",5,4,1,2,"No"
"1239",24,"Travel_Frequently",535,"Sales",24,"Three","Medical","1","632","Very High","Male",38,"High","One","Sales Representative","Very High","Married",2400,5530,0,"Y","No",13,"Excellent","High","80","Two",3,3,"Good",2,2,2,1,"Yes"
"1240",42,"Travel_Rarely",603,"Research & Development",7,"Four","Medical","1","1292","Medium","Female",78,"Very High","Two","Research Scientist","Medium","Married",2372,5628,6,"Y","Yes",16,"Excellent","Very High","80","Zero",18,2,"Good",1,0,0,0,"No"
"1241",35,"Travel_Rarely",755,"Research & Development",9,"Four","Life Sciences","1","496","High","Male",97,"Medium","Two","Healthcare Representative","Medium","Single",6540,19394,9,"Y","No",19,"Excellent","High","80","Zero",10,5,"Good",1,1,0,0,"Yes"
"1242",44,"Travel_Rarely",200,"Research & Development",29,"Four","Other","1","1225","Very High","Male",32,"High","Two","Research Scientist","Very High","Single",4541,7744,1,"Y","No",25,"Outstanding","Medium","80","Zero",20,3,"Good",20,11,13,17,"Yes"
"1243",54,"Travel_Rarely",376,"Research & Development",19,"Four","Medical","1","799","Very High","Female",95,"High","Two","Manufacturing Director","Low","Divorced",5485,22670,9,"Y","Yes",11,"Excellent","Medium","80","Two",9,4,"Good",5,3,1,4,"No"
"1244",37,"Travel_Rarely",783,"Research & Development",7,"Four","Medical","1","1885","Very High","Male",78,"High","Two","Research Scientist","Low","Married",4284,13588,5,"Y","Yes",22,"Outstanding","High","80","One",16,2,"Good",5,3,0,4,"No"
"1245",43,"Travel_Frequently",422,"Research & Development",1,"Three","Life Sciences","1","902","Very High","Female",33,"High","Two","Healthcare Representative","Very High","Married",5562,21782,4,"Y","No",13,"Excellent","Medium","80","One",12,2,"Better",5,2,2,2,"No"
"1246",28,"Travel_Rarely",640,"Research & Development",1,"Three","Technical Degree","1","1301","Very High","Male",84,"High","One","Research Scientist","Low","Single",2080,4732,2,"Y","No",11,"Excellent","Medium","80","Zero",5,2,"Better",3,2,1,2,"Yes"
"1247",57,"Travel_Rarely",593,"Research & Development",1,"Four","Medical","1","482","Very High","Male",88,"High","Two","Healthcare Representative","High","Married",6755,2967,2,"Y","No",11,"Excellent","High","80","Zero",15,2,"Good",3,2,1,2,"No"
"1248",30,"Travel_Frequently",1312,"Research & Development",2,"Four","Technical Degree","1","1745","Very High","Female",78,"Medium","One","Research Scientist","Low","Single",4968,26427,0,"Y","No",16,"Excellent","Very High","80","Zero",10,2,"Good",9,7,0,7,"No"
"1249",36,"Travel_Frequently",469,"Research & Development",3,"Three","Technical Degree","1","1257","High","Male",46,"High","One","Research Scientist","Medium","Married",3692,9256,1,"Y","No",12,"Excellent","High","80","Zero",12,2,"Better",11,10,0,7,"No"
"1250",36,"Travel_Rarely",1041,"Human Resources",13,"Three","Human Resources","1","829","High","Male",36,"High","One","Human Resources","Medium","Married",2143,25527,4,"Y","No",13,"Excellent","Medium","80","One",8,2,"Good",5,2,0,4,"No"
"1251",34,"Travel_Rarely",285,"Research & Development",29,"Three","Medical","1","1377","Medium","Male",86,"High","Two","Laboratory Technician","High","Married",5429,17491,4,"Y","No",13,"Excellent","Low","80","Two",10,1,"Good",8,7,7,7,"Yes"
"1252",34,"Travel_Rarely",216,"Sales",1,"Four","Marketing","1","1047","Medium","Male",75,"Very High","Two","Sales Executive","Very High","Divorced",9725,12278,0,"Y","No",11,"Excellent","Very High","80","One",16,2,"Better",15,1,0,9,"No"
"1253",41,"Travel_Rarely",1411,"Research & Development",19,"Two","Life Sciences","1","334","High","Male",36,"High","Two","Research Scientist","Low","Divorced",3072,19877,2,"Y","No",16,"Excellent","Low","80","Two",17,2,"Better",1,0,0,0,"No"
"1254",34,"Travel_Frequently",648,"Human Resources",11,"Three","Life Sciences","1","1289","High","Male",56,"Medium","Two","Human Resources","Medium","Married",4490,21833,4,"Y","No",11,"Excellent","Very High","80","Two",14,5,"Best",10,9,1,8,"No"
"1255",55,"Travel_Rarely",147,"Research & Development",20,"Two","Technical Degree","1","389","Medium","Male",37,"High","Two","Laboratory Technician","Very High","Married",5415,15972,3,"Y","Yes",19,"Excellent","Very High","80","One",12,4,"Good",10,7,0,8,"No"
"1256",52,"Travel_Frequently",322,"Research & Development",28,"Two","Medical","1","1401","Very High","Female",59,"Very High","Four","Manufacturing Director","High","Married",13247,9731,2,"Y","Yes",11,"Excellent","Medium","80","One",24,3,"Better",5,3,0,2,"No"
"1257",34,"Travel_Rarely",419,"Research & Development",7,"Four","Life Sciences","1","28","Low","Female",53,"High","Three","Research Director","Medium","Single",11994,21293,0,"Y","No",11,"Excellent","High","80","Zero",13,4,"Good",12,6,2,11,"No"
"1258",52,"Non-Travel",771,"Sales",2,"Four","Life Sciences","1","329","Low","Male",79,"Medium","Five","Manager","High","Single",19068,21030,1,"Y","Yes",18,"Excellent","Very High","80","Zero",33,2,"Best",33,7,15,12,"Yes"
"1259",49,"Travel_Rarely",1261,"Research & Development",7,"Three","Other","1","499","Medium","Male",31,"Medium","Three","Healthcare Representative","High","Single",10965,12066,8,"Y","No",24,"Outstanding","High","80","Zero",26,2,"Good",5,2,0,0,"No"
"1260",26,"Travel_Rarely",1146,"Sales",8,"Three","Technical Degree","1","796","Very High","Male",38,"Medium","Two","Sales Executive","Low","Single",5326,3064,6,"Y","No",17,"Excellent","High","80","Zero",6,2,"Better",4,3,1,2,"Yes"
"1261",44,"Travel_Rarely",921,"Research & Development",2,"Three","Life Sciences","1","1703","High","Female",96,"Very High","Three","Healthcare Representative","Very High","Married",7879,14810,1,"Y","Yes",19,"Excellent","Medium","80","One",9,2,"Good",8,7,6,7,"No"
"1262",39,"Non-Travel",792,"Research & Development",1,"Three","Life Sciences","1","1737","Very High","Male",77,"High","Two","Laboratory Technician","Very High","Married",6472,8989,1,"Y","Yes",15,"Excellent","Very High","80","One",9,2,"Good",9,8,5,8,"No"
"1263",27,"Travel_Rarely",1054,"Research & Development",8,"Three","Medical","1","1751","High","Female",67,"High","One","Research Scientist","Very High","Single",3445,6152,1,"Y","No",11,"Excellent","High","80","Zero",6,5,"Better",6,2,1,4,"No"
"1264",50,"Travel_Frequently",1115,"Research & Development",1,"Three","Life Sciences","1","141","Low","Female",73,"High","Five","Research Director","Medium","Married",18172,9755,3,"Y","Yes",19,"Excellent","Low","80","Zero",28,1,"Better",8,3,0,7,"No"
"1265",40,"Travel_Rarely",118,"Sales",14,"Two","Life Sciences","1","1598","Very High","Female",84,"High","Two","Sales Executive","Low","Married",4639,11262,1,"Y","No",15,"Excellent","High","80","One",5,2,"Good",5,4,1,2,"No"
"1266",39,"Travel_Frequently",766,"Sales",20,"Three","Life Sciences","1","1812","High","Male",83,"High","Two","Sales Executive","Very High","Divorced",4127,19188,2,"Y","No",18,"Excellent","Very High","80","One",7,6,"Good",2,1,2,2,"No"
"1267",60,"Travel_Rarely",370,"Research & Development",1,"Four","Medical","1","1697","High","Male",92,"Low","Three","Healthcare Representative","Very High","Divorced",10883,20467,3,"Y","No",20,"Outstanding","High","80","One",19,2,"Best",1,0,0,0,"No"
"1268",39,"Travel_Rarely",867,"Research & Development",9,"Two","Medical","1","1936","Low","Male",87,"High","Two","Manufacturing Director","Low","Married",5151,12315,1,"Y","No",25,"Outstanding","Very High","80","One",10,3,"Good",10,0,7,9,"No"
"1269",29,"Travel_Rarely",992,"Research & Development",1,"Three","Technical Degree","1","300","High","Male",85,"High","One","Research Scientist","High","Single",2058,19757,0,"Y","No",14,"Excellent","Very High","80","Zero",7,1,"Better",6,2,1,5,"Yes"
"1270",31,"Travel_Rarely",202,"Research & Development",8,"Three","Life Sciences","1","1433","Low","Female",34,"Medium","One","Research Scientist","Medium","Single",1261,22262,1,"Y","No",12,"Excellent","High","80","Zero",1,3,"Best",1,0,0,0,"Yes"
"1271",41,"Travel_Rarely",896,"Sales",6,"Three","Life Sciences","1","298","Very High","Female",75,"High","Three","Manager","Very High","Single",13591,14674,3,"Y","Yes",18,"Excellent","High","80","Zero",16,3,"Good",1,0,0,0,"No"
"1272",30,"Non-Travel",829,"Research & Development",1,"One","Life Sciences","1","292","High","Male",88,"Medium","Three","Manufacturing Director","High","Single",8474,20925,1,"Y","No",22,"Outstanding","High","80","Zero",12,2,"Good",11,8,5,8,"No"
"1273",25,"Travel_Rarely",1219,"Research & Development",4,"One","Technical Degree","1","1106","Very High","Male",32,"High","One","Laboratory Technician","Very High","Married",3691,4605,1,"Y","Yes",15,"Excellent","Medium","80","One",7,3,"Best",7,7,5,6,"No"
"1274",53,"Travel_Rarely",1070,"Research & Development",3,"Four","Medical","1","386","High","Male",45,"High","Four","Research Director","High","Married",17584,21016,3,"Y","Yes",16,"Excellent","Very High","80","Three",21,5,"Better",5,3,1,3,"No"
"1275",30,"Travel_Frequently",448,"Sales",12,"Four","Life Sciences","1","648","Medium","Male",74,"Medium","One","Sales Representative","Low","Married",2033,14470,1,"Y","No",18,"Excellent","High","80","One",1,2,"Best",1,0,0,0,"Yes"
"1276",26,"Travel_Rarely",1066,"Research & Development",2,"Two","Medical","1","1018","Very High","Male",32,"Very High","Two","Manufacturing Director","Very High","Married",5472,3334,1,"Y","No",12,"Excellent","Medium","80","Zero",8,2,"Good",8,7,1,3,"No"
"1277",36,"Travel_Frequently",1302,"Research & Development",6,"Four","Life Sciences","1","1594","Low","Male",80,"Very High","Two","Laboratory Technician","Low","Married",5562,19711,3,"Y","Yes",13,"Excellent","Very High","80","One",9,3,"Good",3,2,0,2,"No"
"1278",31,"Travel_Rarely",1079,"Sales",10,"Two","Medical","1","1912","High","Female",86,"High","Two","Sales Executive","Very High","Divorced",6583,20115,2,"Y","Yes",11,"Excellent","Very High","80","One",8,2,"Good",5,2,1,4,"No"
"1279",37,"Travel_Rarely",807,"Human Resources",6,"Four","Human Resources","1","133","High","Male",63,"High","One","Human Resources","Low","Divorced",2073,23648,4,"Y","Yes",22,"Outstanding","Very High","80","Zero",7,3,"Good",3,2,0,2,"Yes"
"1280",54,"Non-Travel",142,"Human Resources",26,"Three","Human Resources","1","148","Very High","Female",30,"Very High","Four","Manager","Very High","Single",17328,13871,2,"Y","Yes",12,"Excellent","High","80","Zero",23,3,"Good",5,3,4,4,"No"
"1281",35,"Travel_Frequently",662,"Sales",18,"Four","Marketing","1","1380","Very High","Female",67,"High","Two","Sales Executive","High","Married",4614,23288,0,"Y","Yes",18,"Excellent","High","80","One",5,0,"Better",4,2,3,2,"Yes"
